"","Project","Text","SDG","Target"
"1903","P085375","mainstreaming incorporate gender mainstreaming principles strategy development scaling cdd approach mainstreaming scaling cdd wss wss build capacity ngos organizations individuals gender training increase local resources scaling include gender data analysis advocacy kits advocacy activities decision makers increase awareness importance gender wss monitoring nationallprovincial cdlsocial inclusion consultants regularly conduct field evaluation visits review progress gender mainstreaming mentor facilitators ensure formats monev collect gender disaggregated data participation program training community activities data inputted ensure sustainability monitoring involves participation women gender disaggregated data collected recorded","SDG 13","SDG 13.3"
"1904","P085375","mainstreaming require national framework attention advocacy recognition wss development priority incentives local government ownership program project dissemination wss participating districts","No map","No map.NA"
"1905","P085375","audit report formal responses government publicly promptly receipt final report prepared accordance financing agreement","SDG 17","SDG 17.17"
"1906","P085375","project management manual public provide ensure easy access public obtain indonesian version projects anticorruption plan publicly review consolidated project annual program awp approved bank documentation project website hardcopy","SDG 17","SDG 17.17"
"1907","P085375","mangrove wetland","No map","No map.NA"
"1908","P085375","manual cashbook supporting books maintained finance bureauhub unit kppn","No map","No map.NA"
"1909","P085375","manuals draft form review appraisal finalized credit effectiveness","No map","No map.NA"
"1910","P085375","manuals prepare comprehensive technical guidelines describing range technically feasible options","No map","No map.NA"
"1911","P085375","activities require longterm management role vit understood vit transform service management organization construction completed","No map","No map.NA"
"1912","P085375","marine reserves","SDG 14","SDG 14.a"
"1913","P085375","mdg total financing gap rural wss mdgs pamsimas investment rural financing gap rural financing gap pamsimas million average annual rural financing gap million urban rural financing annual gap billion","SDG 17","SDG 17.5"
"1914","P085375","measurement project outcome indicators baseline target instruments sustainable additional people sustainability mis established access improved water facilities data household differentiated socioeconomic status survey additional people sustainable sustainability established access improved sanitation facilities data household differentiated socioeconomic status survey project intervention people percentage target communities free sustainability established project defecation data household commencement survey percentage target communities adopting sustainability mis established project hand washing programs data household commencement survey capacity buildingplan support capacity building established adoption mainstreaming mis project community start pamsimas approach progress project intervention achieving objectives","SDG 17","SDG 17.19"
